id,Sample Code,soilSource,soilRange,soilSite,seedRange,combo,patchType,seedSite,Sample Name,feature count,shannon_r1000,shannon
nat_wash_F163,MF163,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,GRA,313 GRA CAN,7242,4.886669238,4.809777936
nat_wash_F164,MF164,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,CAN,567 CAN CAN,28730,6.410176739,6.478384927
nat_wash_F165,MF165,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,TRI,81 TRI CAZ,9,,
nat_wash_F166,MF166,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,TRI,624 TRI GRA,14383,5.567303998,5.649850282
nat_wash_F167,MF167,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,CAN,335 CAN SAZ,38817,6.919305324,7.039471137
nat_wash_F168,MF168,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,GIL,554 GIL GRA,20363,5.976465602,5.990741336
nat_wash_F169,MF169,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,LEB,569 LEB SAZ,24131,6.240897726,6.316365137
nat_wash_F170,MF170,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,TRI,606 TRI SAZ,0,,
nat_wash_F173,MF173,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,GIL,551 GIL CAZ,28216,6.445282282,6.553711496
nat_wash_F174,MF174,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,RB,605 RB CAZ,52524,7.038475163,7.276674847
nat_wash_F175,MF175,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,LEB,576 LEB CAZ,39387,6.655354649,6.71955934
nat_wash_F176,MF176,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,GIL,594 GIL CAN,47989,6.912019752,7.01342302
nat_wash_F177,MF177,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,CAN,561 CAN GRA,39883,6.524760786,6.60819246
nat_wash_F178,MF178,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,RB,610 RB SAZ,13,,
nat_wash_F179,MF179,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,TRI,556 TRI CAN,12331,5.105990034,5.167832261
nat_wash_F45,MF45,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,TRI,17 TRI GRA,25628,6.216502594,6.233979331
nat_wash_F46,MF46,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,CAN,344 CAN GRA,41599,6.97087654,7.040536997
